PS-b-2PLA	
X:	Y:
0	0.013
0.00167	0.007
0.00333	-0.01
0.005	-0.002
0.00667	0.011
0.00833	0.007
0.01	-0.011
0.01167	-0.006
0.01333	0.004
0.015	-0.004
0.01667	-0.021
0.01833	-0.019
0.02	-0.011
0.02167	-0.014
0.02333	-0.028
0.025	-0.024
0.02667	-0.011
0.02833	-0.017
0.03	-0.034
0.03167	-0.027
0.03333	-0.015
0.035	-0.018
0.03667	-0.038
0.03833	-0.035
0.04	-0.022
0.04167	-0.023
0.04333	-0.035
0.045	-0.032
0.04667	-0.019
0.04833	-0.02
0.05	-0.035
0.05167	-0.029
0.05333	-0.016
0.055	-0.021
0.05667	-0.036
0.05833	-0.028
0.06	-0.016
0.06167	-0.017
0.06333	-0.034
0.065	-0.028
0.06667	-0.013
0.06833	-0.017
0.07	-0.032
0.07167	-0.027
0.07333	-0.019
0.075	-0.025
0.07667	-0.04
0.07833	-0.034
0.08	-0.022
0.08167	-0.024
0.08333	-0.041
0.085	-0.037
0.08667	-0.021
0.08833	-0.022
0.09	-0.035
0.09167	-0.03
0.09333	-0.018
0.095	-0.021
0.09667	-0.035
0.09833	-0.029
0.1	-0.021
0.10167	-0.028
0.10333	-0.041
0.105	-0.035
0.10667	-0.02
0.10833	-0.025
0.11	-0.039
0.11167	-0.032
0.11333	-0.02
0.115	-0.025
0.11667	-0.039
0.11833	-0.033
0.12	-0.024
0.12167	-0.029
0.12333	-0.044
0.125	-0.038
0.12667	-0.023
0.12833	-0.026
0.13	-0.045
0.13167	-0.044
0.13333	-0.033
0.135	-0.035
0.13667	-0.051
0.13833	-0.046
0.14	-0.035
0.14167	-0.037
0.14333	-0.054
0.145	-0.052
0.14667	-0.032
0.14833	-0.032
0.15	-0.045
0.15167	-0.038
0.15333	-0.022
0.155	-0.025
0.15667	-0.038
0.15833	-0.032
0.16	-0.016
0.16167	-0.019
0.16333	-0.034
0.165	-0.032
0.16667	-0.019
0.16833	-0.019
0.17	-0.035
0.17167	-0.031
0.17333	-0.02
0.175	-0.025
0.17667	-0.042
0.17833	-0.04
0.18	-0.024
0.18167	-0.024
0.18333	-0.04
0.185	-0.038
0.18667	-0.021
0.18833	-0.021
0.19	-0.038
0.19167	-0.036
0.19333	-0.022
0.195	-0.028
0.19667	-0.043
0.19833	-0.044
0.2	-0.029
0.20167	-0.03
0.20333	-0.04
0.205	-0.039
0.20667	-0.025
0.20833	-0.03
0.21	-0.045
0.21167	-0.041
0.21333	-0.025
0.215	-0.026
0.21667	-0.041
0.21833	-0.04
0.22	-0.028
0.22167	-0.032
0.22333	-0.046
0.225	-0.044
0.22667	-0.031
0.22833	-0.032
0.23	-0.047
0.23167	-0.045
0.23333	-0.033
0.235	-0.036
0.23667	-0.053
0.23833	-0.053
0.24	-0.04
0.24167	-0.039
0.24333	-0.052
0.245	-0.049
0.24667	-0.035
0.24833	-0.04
0.25	-0.057
0.25167	-0.059
0.25333	-0.047
0.255	-0.045
0.25667	-0.058
0.25833	-0.059
0.26	-0.042
0.26167	-0.039
0.26333	-0.051
0.265	-0.05
0.26667	-0.037
0.26833	-0.04
0.27	-0.056
0.27167	-0.057
0.27333	-0.042
0.275	-0.044
0.27667	-0.055
0.27833	-0.053
0.28	-0.036
0.28167	-0.041
0.28333	-0.055
0.285	-0.055
0.28667	-0.039
0.28833	-0.04
0.29	-0.053
0.29167	-0.057
0.29333	-0.039
